Frontier,SolutionIndex,Peak Sediment Deposit (tonnes),Fire Hazard Rating,Min Owl Habitat (ha)
NONE,1,24.5727096901,21322.256947,2532.96503989
NONE,2,24.5727096901,21322.256947,2534.12600504
NONE,4,24.2159481123,21323.3893734,2536.12600504
NONE,5,24.2159481123,21324.176409,2537.12600504
NONE,6,20.5926411163,21325.913443200006,2532.33095526
NONE,7,24.2159481123,21324.7478055,2538.12600504
NONE,9,20.5926411163,21325.4335714,2534.33095526
NONE,10,11.3941146022,21328.2686106,2532.33095526
NONE,11,24.223805741,21326.7515119,2539.12600504
NONE,12,20.9494026941,21327.2193991,2535.33095526
NONE,13,20.9494026941,21327.6075009,2536.33095526
NONE,14,20.5926411163,21328.2786795,2537.33095526
NONE,15,11.0373530244,21329.5257619,2533.33095525
NONE,16,11.0373530244,21329.5257619,2534.34078687
NONE,17,20.9494026941,21328.9928836,2538.33095526
NONE,18,11.0373530244,21330.0400025,2535.34078687
NONE,19,20.5926411163,21329.8369272,2539.33095526
NONE,20,11.0373530244,21330.8991042,2536.34078687
NONE,21,11.0373530244,21330.8991042,2537.82118162
NONE,22,11.0373530244,21333.8213502,2538.82118162
NONE,23,11.0373530244,21334.4220669,2539.82118162
NONE,24,8.86184670422,21355.747302,2532.33095526
NONE,25,7.257801985219999,21356.5957818,2533.33095526
NONE,27,7.26258319472,21356.8441237,2535.33095525
NONE,28,8.88142586029,21358.3831323,2536.33095525
NONE,29,7.04730195521,21358.7775392,2537.33095525
NONE,30,7.04730195521,21359.6039188,2538.33095525
NONE,31,7.04730195521,21361.1604563,2539.33095525
NONE,32,5.0386773728500005,21403.4114816,2533.01519197
NONE,33,5.0386773728500005,21403.5452166,2534.01519197
NONE,34,5.045528355369999,21403.714549400003,2535.01519197
NONE,35,5.045528355369999,21405.2348124,2536.01519197
NONE,36,5.045528355369999,21405.732451,2537.01519197
NONE,37,5.045528355369999,21405.6812526,2538.01519197
NONE,38,5.03389616335,21407.3675771,2539.01519197
NONE,39,5.045528355369999,21408.4261479,2540.01519197
NONE,40,3.02980071636,21465.331620700006,2533.85056222
NONE,41,3.02980071636,21465.6502183,2534.85056222
NONE,42,3.02980071636,21467.0164597,2535.85056222
NONE,43,3.02980071636,21467.6568116,2536.85056221
NONE,44,3.02980071636,21468.4589172,2538.18709699
NONE,45,3.02980071636,21470.6694782,2539.18709699
NONE,46,1.02809974162,21540.6082262,2533.01519197
NONE,47,1.02809974162,21541.4872553,2534.21647758
NONE,48,1.02809974162,21542.005418,2535.54207248
NONE,49,1.02809974162,21542.8144751,2537.16453304
NONE,50,1.02809974162,21544.6107848,2538.18709699
NONE,51,1.02809974162,21545.5465144,2539.2209485
NONE,9997,24.5727096901,21321.2093856,2532.33095526
NONE,9998,0.0419080715512,21768.2476124,2540.05
NONE,9999,0.0,21933.2875117,2540.05631875
E45,3,63.3458559848,23220.844696400003,2413.18454725
E45,4,63.3458559858,23220.844696400003,2415.53147782
E45,5,63.3458559858,23221.6528858,2416.53147782
E45,6,63.3458559858,23221.6528858,2417.69833588
E45,8,63.4288600326,23222.7512706,2420.65549534
E45,9,63.4288600326,23223.766827900006,2421.65549534
E45,10,63.4288600326,23222.3880026,2422.65549534
E45,17,63.2468203167,23226.6877483,2446.84162669
E45,18,63.196248393699996,23226.8737493,2448.46408725
E45,21,59.11752772770001,23227.2865812,2413.18454725
E45,31,55.333599668199994,23228.873742900007,2419.11774173
E45,35,63.231331643900006,23228.374432,2451.10826497
E45,38,59.113054915,23228.6967898,2426.44976029
E45,39,55.333599668199994,23229.3060427,2423.80997756
E45,42,55.333599668199994,23229.5506132,2424.91200668
E45,49,59.0779716649,23231.5649252,2435.19363244
E45,72,59.0779716649,23234.7431612,2450.38662843
E45,94,63.4288600326,23239.2188933,2464.22314955
E45,98,52.76417585430001,23241.4145986,2430.36603645
E45,114,55.3841715912,23244.7787815,2461.37514519
E45,117,52.76417585430001,23246.1876099,2452.11011732
E45,120,49.9690590416,23245.5780997,2412.55370825
E45,132,52.76417585430001,23248.759089,2454.21932893
E45,143,49.971866769799995,23251.368073400005,2433.21874454
E45,151,50.67885883979999,23251.8899077,2440.70704867
E45,156,52.76417585430001,23252.452616,2458.99500772
E45,164,50.6743860271,23253.9090976,2448.46408725
E45,171,55.3841715912,23255.1035659,2470.02139228
E45,192,34.186634987199994,23261.872457,2426.35497929
E45,200,58.9490949897,23261.4294421,2475.23934552
E45,204,30.0958698964,23263.8202533,2412.18454725
E45,227,30.0607866462,23267.5600396,2429.91833793
E45,231,53.0475899716,23266.3490906,2472.58908846
E45,232,30.1158313819,23270.097709,2441.7018069
E45,233,34.186634987199994,23269.6609426,2453.37512164
E45,241,34.186634987199994,23271.3603867,2455.98581887
E45,244,30.1113585692,23271.9230991,2449.36406448
E45,259,23.655596848400002,23273.449010900003,2415.33378769
E45,260,34.1852079526,23273.2738475,2458.75256734
E45,270,30.1113585692,23274.2200357,2453.37512164
E45,277,34.186634987199994,23275.1870943,2461.56360813
E45,289,26.5646126252,23278.1320023,2446.44676507
E45,299,23.657023883,23279.3859518,2440.3411333
