Frontier,SolutionIndex,NPV(1000USD),Carbon(1000MgT),Habitat(ac)
Clearcut,1,-4541.139,528.2014,407.41
Clearcut,3,-4541.139,528.2014,407.41
Clearcut,57,-2891.271,504.1445,388.19
Clearcut,56,-2824.535,504.1694,357.47
Clearcut,55,-2752.635,504.1526,337.4
Clearcut,54,-2712.799,504.1569,308.35
Clearcut,53,-1885.373,478.5196,407.41
Clearcut,52,-1693.788,478.5127,378.36
Clearcut,51,-1521.219,478.5458,357.47
Clearcut,50,-1380.052,478.5221,336.48
Clearcut,49,-1280.162,452.9069,407.41
Clearcut,48,-1219.605,478.5216,305.76
Clearcut,47,-1010.782,452.9094,378.36
Clearcut,46,-957.0049,474.8504,285.69
Clearcut,45,-866.3212,427.3041,407.41
Clearcut,44,-679.5135,449.248,357.47
Clearcut,43,-651.0566,469.0515,263.42
Clearcut,40,-563.7572,401.693,407.41
Clearcut,42,-542.7943,469.0518,238.19
Clearcut,41,-533.3629,469.0423,215.53
Clearcut,39,-512.9388,423.6076,378.36
Clearcut,38,-286.6732,443.4408,336.48
Clearcut,37,-226.3205,463.9768,163.56
Clearcut,36,-198.9117,397.9874,378.36
Clearcut,34,-116.8545,417.8077,357.47
Clearcut,35,-83.02003,463.9897,140.9
Clearcut,33,77.22558,438.3652,305.76
Clearcut,31,193.2903,392.1987,357.47
Clearcut,32,211.164,459.4284,111.85
Clearcut,30,300.8126,412.7483,336.48
Clearcut,29,334.998,433.8251,285.69
Clearcut,28,451.7587,433.8273,263.42
Clearcut,27,607.9806,387.1433,336.48
Clearcut,26,672.6863,433.8159,238.19
Clearcut,25,674.5855,408.2132,305.76
Clearcut,24,706.0283,433.786,215.53
Clearcut,23,847.8527,408.1831,283.49
Clearcut,22,944.0252,431.3793,183.31
Clearcut,21,999.3754,382.5809,305.76
Clearcut,20,1041.824,405.7776,263.42
Clearcut,19,1087.848,430.7473,157.06
Clearcut,18,1211.154,380.1589,283.49
Clearcut,17,1329.274,405.1392,238.19
Clearcut,16,1373.091,427.7032,126.34
Clearcut,14,1393.825,379.5363,263.42
Clearcut,15,1399.249,427.7095,103.68
Clearcut,13,1436.06,402.0919,215.53
Clearcut,12,1691.839,402.0644,183.31
Clearcut,11,1702.398,376.4498,238.19
Clearcut,10,1766.903,375.8261,215.53
Clearcut,9,2028.32,392.3072,157.06
Clearcut,8,2285.446,392.3291,126.34
Clearcut,7,2393.459,366.7006,164.86
Clearcut,6,2412.891,388.99,103.68
